"","fy","fund","agency","source","source_name","receipts","data_source","fund_ab","fund_ioc","fund_re","a_end","in_ff","fund_name_ab","fund_category","fund_cat_name","effective_date","rev_type","rev_type_name","amnesty","local","rev_type_name_COMPTROLLER","source_name_AWM","drop_fund","drop_reason"
"1",1998,"9280","579","0001","ADMISSION TAX",925665,"rev IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"2",1999,"9280","579","0001","ADMISSION TAX",867212,"rev_IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"3",2000,"9280","579","0001","ADMISSION TAX",826728,"rev IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"4",2001,"9280","579","0001","ADMISSION TAX",686884,"rev IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"5",2002,"9280","579","0001","ADMISSION TAX",717298,"rev IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"6",2003,"9280","579","0001","ADMISSION TAX",625734,"rev IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"7",2004,"9280","492","0001","ADMISSION TAX",588621,"rev IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"8",2005,"9280","492","0001","ADMISSION TAX",504061,"rev IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"9",2006,"9280","492","0001","ADMISSION TAX",455858.65,"rev IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"10",2007,"9280","492","0001","ADMISSION TAX",620425.95,"rev IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"11",2008,"9280","492","0001","ADMISSION TAX",954420,"rev IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"12",2009,"9280","492","0001","ADMISSION TAX",837250.5,"rev IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"13",2010,"9280","579","0001","ADMISSION TAX",580875,"rev IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"14",2011,"9280","579","0001","ADMISSION TAX",428787.5,"rev IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"15",2012,"9280","579","0001","ADMISSION TAX",352562,"rev IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"16",2013,"9280","579","0001","ADMISSION TAX",15474.57,"rev IOC 13.08.02","0280-a","0280",1,2024,FALSE,"IL RACING BOARD GRANT","I","State Trust Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMISSION TAX","Excluded Fund","Excluded Fund"
"17",1998,"0001","579","0002","ADMIS TAX-HARNESS RACING",175327.09,"rev IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"18",1999,"0001","579","0002","ADMIS TAX-HARNESS RACING",131004.83,"rev_IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"19",2000,"0001","579","0002","ADMIS TAX-HARNESS RACING",139967.99,"rev IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"20",2001,"0001","579","0002","ADMIS TAX-HARNESS RACING",137817.81,"rev IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"21",2002,"0001","579","0002","ADMIS TAX-HARNESS RACING",129887.68,"rev IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"22",2003,"0001","579","0002","ADMIS TAX-HARNESS RACING",127406.35,"rev IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"23",2004,"0001","492","0002","ADMIS TAX-HARNESS RACING",125585.85,"rev IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"24",2005,"0001","492","0002","ADMIS TAX-HARNESS RACING",119899.65,"rev IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"25",2006,"0001","492","0002","ADMIS TAX-HARNESS RACING",102802.45,"rev IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"26",2007,"0001","492","0002","ADMIS TAX-HARNESS RACING",89044.7,"rev IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"27",2008,"0001","492","0002","ADMIS TAX-HARNESS RACING",81456.7,"rev IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"28",2009,"0001","492","0002","ADMIS TAX-HARNESS RACING",88316.55,"rev IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"29",2010,"0001","579","0002","ADMIS TAX-HARNESS RACING",85768.7,"rev IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"30",2011,"0001","579","0002","ADMIS TAX-HARNESS RACING",76513.35,"rev IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"31",2012,"0001","579","0002","ADMIS TAX-RACETRACKS",78226.5,"rev IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"32",2013,"0001","579","0002","ADMIS TAX-RACETRACKS",27986.25,"rev IOC 13.08.02","0001","0001",0,,TRUE,"GENERAL REVENUE","A","General Funds",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"33",2013,"0632","579","0002","ADMIS TAX-RACETRACKS",52538.25,"rev IOC 13.08.02","0632","0632",0,,TRUE,"HORSE RACING","D","Special State Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"34",2014,"0632","579","0002","ADMIS TAX-RACETRACKS",81261.45,"rev IOC 15.09.28","0632","0632",0,,TRUE,"HORSE RACING","D","Special State Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"35",2015,"0632","579","0002","ADMIS TAX-RACETRACKS",64131.45,"rev ioc 16.01.07","0632","0632",0,,TRUE,"HORSE RACING","D","Special State Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"36",2016,"0632","579","0002","ADMIS TAX-RACETRACKS",73480.05,"rev ioc 16.08.04","0632","0632",0,,TRUE,"HORSE RACING","D","Special State Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"37",2017,"0632","579","0002","ADMIS TAX-RACETRACKS",67610.1,"rev ioc 17.11.29","0632","0632",0,,TRUE,"HORSE RACING","D","Special State Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"38",2018,"0632","579","0002","ADMIS TAX-RACETRACKS",65303.29,,"0632","0632",0,,TRUE,"HORSE RACING","D","Special State Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"39",2019,"0632","579","0002","ADMIS TAX-RACETRACKS",51366.45,"rev ioc 12.11.2019","0632","0632",0,,TRUE,"HORSE RACING","D","Special State Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"40",2020,"0632","579","0002","ADMIS TAX-RACETRACKS",47895.25,"rev ioc 03.11.2020","0632","0632",0,,TRUE,"HORSE RACING","D","Special State Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"41",2021,"0632","579","0002","ADMIS TAX-RACETRACKS",10090.5,,"0632","0632",0,,TRUE,"HORSE RACING","D","Special State Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
"42",2022,"0632","579","0002","ADMIS TAX-RACETRACKS",66845.85,"rev_ioc_22.08.01","0632","0632",0,,TRUE,"HORSE RACING","D","Special State Fund",,"78","All Other Sources",,,"ALL OTHER SOURCES","ADMIS TAX-RACETRACKS","Included Fund",
