"","fy","fund","agency","source","interfund_trans","from_fund","source_name","receipts","data_source","fund_name","agency_name","fund_cat","fund_cat_name.x","fund_ab","fund_ioc","fund_re","a_end","in_ff","fund_name_ab","fund_category","fund_cat_name.y","in_ff_rev","in_ff_exp","source_name_AWM","rev_type","rev_type_name","amnesty","local","type_assigned","rev_type_name_COMPTROLLER","covid_dollars","employee_premiums","rev_type_new"
"1",1998,"0280","579","0001",0,".","ADMISSION TAX",925665,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"2",1999,"0280","579","0001",0,".","ADMISSION TAX",867212,"rev_IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"3",2000,"0280","579","0001",0,".","ADMISSION TAX",826728,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"4",2001,"0280","579","0001",0,".","ADMISSION TAX",686884,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"5",2002,"0280","579","0001",0,".","ADMISSION TAX",717298,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"6",2003,"0280","579","0001",0,".","ADMISSION TAX",625734,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"7",2004,"0280","492","0001",0,".","ADMISSION TAX",588621,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"8",2005,"0280","492","0001",0,".","ADMISSION TAX",504061,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"9",2006,"0280","492","0001",0,".","ADMISSION TAX",455858.65,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"10",2007,"0280","492","0001",0,"9999","ADMISSION TAX",620425.95,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"11",2008,"0280","492","0001",0,"9999","ADMISSION TAX",954420,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"12",2009,"0280","492","0001",0,"9999","ADMISSION TAX",837250.5,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"13",2010,"0280","579","0001",0,"9999","ADMISSION TAX",580875,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"14",2011,"0280","579","0001",0,"9999","ADMISSION TAX",428787.5,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"15",2012,"0280","579","0001",0,"9999","ADMISSION TAX",352562,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"16",2013,"0280","579","0001",0,"9999","ADMISSION TAX",15474.57,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"17",1998,"0001","579","0002",0,".","ADMIS TAX-HARNESS RACING",175327.09,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"18",1999,"0001","579","0002",0,".","ADMIS TAX-HARNESS RACING",131004.83,"rev_IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"19",2000,"0001","579","0002",0,".","ADMIS TAX-HARNESS RACING",139967.99,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"20",2001,"0001","579","0002",0,".","ADMIS TAX-HARNESS RACING",137817.81,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"21",2002,"0001","579","0002",0,".","ADMIS TAX-HARNESS RACING",129887.68,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
