fy,fund,agency,source,interfund_trans,from_fund,source_name,receipts,data_source,fund_name,agency_name,fund_cat,fund_cat_name.x,fund_ab,fund_ioc,fund_re,a_end,in_ff,fund_name_ab,fund_category,fund_cat_name.y,in_ff_rev,in_ff_exp,source_name_AWM,rev_type,rev_type_name,amnesty,local,type_assigned
1998,280,579,1,0,.,ADMISSION TAX,925665,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
1999,280,579,1,0,.,ADMISSION TAX,867212,rev_IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2000,280,579,1,0,.,ADMISSION TAX,826728,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2001,280,579,1,0,.,ADMISSION TAX,686884,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2002,280,579,1,0,.,ADMISSION TAX,717298,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2003,280,579,1,0,.,ADMISSION TAX,625734,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2004,280,492,1,0,.,ADMISSION TAX,588621,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2005,280,492,1,0,.,ADMISSION TAX,504061,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2006,280,492,1,0,.,ADMISSION TAX,455858.65,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2007,280,492,1,0,9999,ADMISSION TAX,620425.95,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2008,280,492,1,0,9999,ADMISSION TAX,954420,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2009,280,492,1,0,9999,ADMISSION TAX,837250.5,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2010,280,579,1,0,9999,ADMISSION TAX,580875,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
